Protein ID,Protein names,Gene names,dirsign,BCC count,BCC proportion,SCC count,SCC proportion,Proportion_Test Rank,HG_Test Rank,Wilcoxon Rank,Minimal Rank
P14618, Pyruvate kinase PKM,PKM,DOWN,58.0,0.9666666666666667,61.0,0.9682539682539683,6396.5,6437.0,2650.0,2650.0
P01876, Immunoglobulin heavy constant alpha 1,IGHA1,UP,56.0,0.9333333333333333,57.0,0.9047619047619048,5033.5,4834.0,4153.0,4153.0
P14923, Junction plakoglobin,JUP,UP,59.0,0.9833333333333333,60.0,0.9523809523809523,4070.5,4299.5,1252.0,1252.0
P62937, Peptidyl-prolyl cis-trans isomerase A,PPIA,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,4415.0,2768.0
P63104, 14-3-3 protein zeta/delta,YWHAZ,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,4481.0,2747.5
P01834, Immunoglobulin kappa constant,IGKC,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,5053.0,3824.0
P47929, Galectin-7,LGALS7B,DOWN,57.0,0.95,60.0,0.9523809523809523,6329.0,6408.0,6274.0,6274.0
P0DOY2, Immunoglobulin lambda constant 2,IGLC2,UP,59.0,0.9833333333333333,60.0,0.9523809523809523,4070.5,4299.5,5255.5,4070.5
P68363, Tubulin alpha-1B chain,TUBA1B,UP,59.0,0.9833333333333333,60.0,0.9523809523809523,4070.5,4299.5,1936.5,1936.5
P04075, Fructose-bisphosphate aldolase A,ALDOA,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,3374.0,3374.0
P31151, Protein S100-A7,S100A7,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,1348.5,1348.5
P02545, Prelamin-A/C,LMNA,UP,47.0,0.7833333333333333,38.0,0.6031746031746031,1172.0,1105.0,97.0,97.0
P20930, Filaggrin,FLG,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,4246.5,3824.0
P04792, Heat shock protein beta-1,HSPB1,DOWN,57.0,0.95,60.0,0.9523809523809523,6329.0,6408.0,2678.5,2678.5
P68371, Tubulin beta-4B chain,TUBB4B,UP,59.0,0.9833333333333333,59.0,0.9365079365079365,3031.0,3182.5,1247.0,1247.0
Q01469, Fatty acid-binding protein 5,FABP5,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,245.5,245.5
P13639, Elongation factor 2,EEF2,UP,56.0,0.9333333333333333,57.0,0.9047619047619048,5033.5,4834.0,2650.0,2650.0
Q6UWP8, Suprabasin,SBSN,UP,56.0,0.9333333333333333,56.0,0.8888888888888888,4365.0,4140.5,5363.5,4140.5
Q15149, Plectin,PLEC,UP,59.0,0.9833333333333333,60.0,0.9523809523809523,4070.5,4299.5,3976.5,3976.5
P06576," ATP synthase subunit beta, mitochondrial",ATP5F1B,UP,56.0,0.9333333333333333,55.0,0.873015873015873,3395.0,3271.0,2650.0,2650.0
P21333, Filamin-A,FLNA,UP,58.0,0.9666666666666667,56.0,0.8888888888888888,2180.0,2264.0,1745.0,1745.0
Q9NZT1, Calmodulin-like protein 5,CALML5,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,2737.5,2737.5
P07900, Heat shock protein HSP 90-alpha,HSP90AA1,UP,58.0,0.9666666666666667,59.0,0.9365079365079365,4585.0,4681.0,1869.5,1869.5
P27482, Calmodulin-like protein 3,CALML3,UP,59.0,0.9833333333333333,57.0,0.9047619047619048,1704.5,1867.5,4326.0,1704.5
P01009, Alpha-1-antitrypsin,SERPINA1,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,4503.5,2747.5
P29401, Transketolase,TKT,UP,56.0,0.9333333333333333,53.0,0.8412698412698413,2280.5,2192.5,6257.0,2192.5
O43707, Alpha-actinin-4,ACTN4,UP,59.0,0.9833333333333333,56.0,0.8888888888888888,1279.5,1401.5,1444.0,1279.5
P84243, Histone H3.3,H3-3B,UP,44.0,0.7333333333333333,36.0,0.5714285714285714,1676.5,1526.5,160.5,160.5
P10412, Histone H1.4,H1-4,UP,56.0,0.9333333333333333,46.0,0.7301587301587301,226.0,220.0,99.5,99.5
P69905, Hemoglobin subunit alpha,HBA2,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,3745.0,3745.0
P20774, Mimecan,OGN,UP,41.0,0.6833333333333333,30.0,0.47619047619047616,929.0,818.0,731.5,731.5
Q93077, Histone H2A type 1-C,H2AC6,UP,51.0,0.85,47.0,0.746031746031746,2624.0,2410.0,148.0,148.0
P29508, Serpin B3,SERPINB3,UP,57.0,0.95,58.0,0.9206349206349206,4805.5,4768.5,2149.5,2149.5
P11021, Endoplasmic reticulum chaperone BiP,HSPA5,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,5215.5,2747.5
P07237, Protein disulfide-isomerase,P4HB,UP,57.0,0.95,56.0,0.8888888888888888,3119.5,3109.5,5304.0,3109.5
P60174, Triosephosphate isomerase,TPI1,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,2715.0,2715.0
P02647, Apolipoprotein A-I,APOA1,UP,57.0,0.95,56.0,0.8888888888888888,3119.5,3109.5,4112.0,3109.5
P16401, Histone H1.5,H1-5,UP,60.0,1.0,51.0,0.8095238095238095,59.0,41.5,1712.0,41.5
P00338, L-lactate dehydrogenase A chain,LDHA,UP,56.0,0.9333333333333333,57.0,0.9047619047619048,5033.5,4834.0,4101.5,4101.5
P00558, Phosphoglycerate kinase 1,PGK1,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,5339.0,3438.5
Q5XKE5," Keratin, type II cytoskeletal 79",KRT79,UP,42.0,0.7,43.0,0.6825396825396826,5919.0,5564.0,3344.0,3344.0
O75369, Filamin-B,FLNB,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,1359.0,1359.0
P06748, Nucleophosmin,NPM1,UP,54.0,0.9,54.0,0.8571428571428571,4690.0,4295.0,2664.0,2664.0
P01859, Immunoglobulin heavy constant gamma 2,IGHG2,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,5053.0,3438.5
P68032," Actin, alpha cardiac muscle 1",ACTC1,UP,59.0,0.9833333333333333,58.0,0.9206349206349206,2267.5,2450.5,3754.5,2267.5
P51888, Prolargin,PRELP,UP,48.0,0.8,33.0,0.5238095238095238,127.5,127.5,71.0,71.0
P33121, Long-chain-fatty-acid--CoA ligase 1,ACSL1,UP,31.0,0.5166666666666667,28.0,0.4444444444444444,4504.0,3868.0,3172.5,3172.5
Q00610, Clathrin heavy chain 1,CLTC,UP,44.0,0.7333333333333333,34.0,0.5396825396825397,1091.0,1025.0,113.0,113.0
P25705," ATP synthase subunit alpha, mitochondrial",ATP5F1A,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,2856.0,2856.0
P01024, Complement C3,C3,UP,59.0,0.9833333333333333,57.0,0.9047619047619048,1704.5,1867.5,3693.5,1704.5
P26038, Moesin,MSN,UP,58.0,0.9666666666666667,60.0,0.9523809523809523,5473.0,5963.0,4430.5,4430.5
P08238, Heat shock protein HSP 90-beta,HSP90AB1,UP,55.0,0.9166666666666666,56.0,0.8888888888888888,5241.0,4896.0,2189.0,2189.0
P04083, Annexin A1,ANXA1,UP,59.0,0.9833333333333333,58.0,0.9206349206349206,2267.5,2450.5,3794.0,2267.5
P22626, Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,UP,55.0,0.9166666666666666,54.0,0.8571428571428571,3590.5,3459.5,1554.5,1554.5
Q13835, Plakophilin-1,PKP1,UP,56.0,0.9333333333333333,56.0,0.8888888888888888,4365.0,4140.5,1753.5,1753.5
P02679, Fibrinogen gamma chain,FGG,UP,55.0,0.9166666666666666,54.0,0.8571428571428571,3590.5,3459.5,5580.5,3459.5
Q06830, Peroxiredoxin-1,PRDX1,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,6050.5,3438.5
P0DMV9, Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,UP,58.0,0.9666666666666667,59.0,0.9365079365079365,4585.0,4681.0,1684.0,1684.0
P07339, Cathepsin D,CTSD,UP,44.0,0.7333333333333333,32.0,0.5079365079365079,583.0,557.0,76.0,76.0
P61978, Heterogeneous nuclear ribonucleoprotein K,HNRNPK,UP,57.0,0.95,52.0,0.8253968253968254,1162.0,1193.0,1495.5,1162.0
P55072, Transitional endoplasmic reticulum ATPase,VCP,UP,55.0,0.9166666666666666,56.0,0.8888888888888888,5241.0,4896.0,2468.0,2468.0
P05023, Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,UP,49.0,0.8166666666666667,40.0,0.6349206349206349,1033.0,995.0,967.5,967.5
P14625, Endoplasmin,HSP90B1,UP,57.0,0.95,55.0,0.873015873015873,2480.5,2483.5,278.0,278.0
P0DP25, Calmodulin-3; Calmodulin-2; Calmodulin-1,CALM3;CALM2;CALM1,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,4415.0,2768.0
P22528, Cornifin-B,SPRR1B,UP,55.0,0.9166666666666666,56.0,0.8888888888888888,5241.0,4896.0,603.0,603.0
P00738, Haptoglobin,HP,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,5094.5,2768.0
P07476, Involucrin,IVL,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,217.5,217.5
P12109, Collagen alpha-1(VI) chain,COL6A1,UP,49.0,0.8166666666666667,49.0,0.7777777777777778,5232.5,4725.5,3225.0,3225.0
P09651, Heterogeneous nuclear ribonucleoprotein A1; Heterogeneous nuclear ribonucleoprotein A1 pseudogene 48,HNRNPA1;HNRNPA1P48,UP,45.0,0.75,32.0,0.5079365079365079,384.5,373.5,45.0,45.0
P46940, Ras GTPase-activating-like protein IQGAP1,IQGAP1,UP,54.0,0.9,49.0,0.7777777777777778,1744.5,1713.0,5339.0,1713.0
P01023, Alpha-2-macroglobulin,A2M,UP,57.0,0.95,58.0,0.9206349206349206,4805.5,4768.5,4635.0,4635.0
Q14204, Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,DOWN,56.0,0.9333333333333333,59.0,0.9365079365079365,6275.0,6361.5,5080.0,5080.0
P06703, Protein S100-A6,S100A6,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,3967.5,2768.0
P02671, Fibrinogen alpha chain,FGA,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,4430.5,2747.5
P06744, Glucose-6-phosphate isomerase,GPI,UP,55.0,0.9166666666666666,52.0,0.8253968253968254,2449.0,2335.0,4406.0,2335.0
P08311, Cathepsin G,CTSG,UP,55.0,0.9166666666666666,49.0,0.7777777777777778,1228.5,1215.5,4778.0,1215.5
P02675, Fibrinogen beta chain,FGB,UP,59.0,0.9833333333333333,56.0,0.8888888888888888,1279.5,1401.5,6566.5,1279.5
O95996, Adenomatous polyposis coli protein 2,APC2,DOWN,8.0,0.13333333333333333,12.0,0.19047619047619047,4388.5,3888.5,3678.0,3678.0
P08758, Annexin A5,ANXA5,DOWN,56.0,0.9333333333333333,59.0,0.9365079365079365,6275.0,6361.5,1178.0,1178.0
P43490, Nicotinamide phosphoribosyltransferase,NAMPT,UP,39.0,0.65,28.0,0.4444444444444444,980.5,901.5,401.5,401.5
Q13813," Spectrin alpha chain, non-erythrocytic 1",SPTAN1,UP,55.0,0.9166666666666666,56.0,0.8888888888888888,5241.0,4896.0,5580.5,4896.0
P09429, High mobility group protein B1,HMGB1,UP,55.0,0.9166666666666666,51.0,0.8095238095238095,1994.5,1980.0,1247.0,1247.0
Q9Y490, Talin-1,TLN1,UP,58.0,0.9666666666666667,59.0,0.9365079365079365,4585.0,4681.0,1283.0,1283.0
P12814, Alpha-actinin-1,ACTN1,UP,55.0,0.9166666666666666,51.0,0.8095238095238095,1994.5,1980.0,2492.5,1980.0
P09382, Galectin-1,LGALS1,UP,54.0,0.9,52.0,0.8253968253968254,3228.0,3065.0,2074.0,2074.0
P62328, Thymosin beta-4,TMSB4X,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,4481.0,3824.0
P12532," Creatine kinase U-type, mitochondrial",CKMT1B,UP,40.0,0.6666666666666666,40.0,0.6349206349206349,5636.0,4938.0,6244.0,4938.0
P19338, Nucleolin,NCL,UP,48.0,0.8,33.0,0.5238095238095238,127.5,127.5,44.0,44.0
P26641, Elongation factor 1-gamma,EEF1G,DOWN,53.0,0.8833333333333333,56.0,0.8888888888888888,6194.0,6299.0,6207.0,6194.0
P30101, Protein disulfide-isomerase A3,PDIA3,UP,55.0,0.9166666666666666,52.0,0.8253968253968254,2449.0,2335.0,2314.5,2314.5
P10809," 60 kDa heat shock protein, mitochondrial",HSPD1,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,2399.0,2399.0
P40926," Malate dehydrogenase, mitochondrial",MDH2,UP,53.0,0.8833333333333333,51.0,0.8095238095238095,3388.0,3127.0,6182.5,3127.0
B9A064, Immunoglobulin lambda-like polypeptide 5; Immunoglobulin lambda constant 1,IGLL5;IGLC1,UP,45.0,0.75,29.0,0.4603174603174603,111.5,113.5,128.5,111.5
P53396, ATP-citrate synthase,ACLY,UP,47.0,0.7833333333333333,42.0,0.6666666666666666,2606.5,2321.5,2640.5,2321.5
P30086, Phosphatidylethanolamine-binding protein 1,PEBP1,UP,56.0,0.9333333333333333,54.0,0.8571428571428571,2898.0,2716.0,2508.0,2508.0
P07951, Tropomyosin beta chain,TPM2,UP,50.0,0.8333333333333334,37.0,0.5873015873015873,216.0,219.0,14.0,14.0
P09211, Glutathione S-transferase P,GSTP1,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,4481.0,3912.0
P06396, Gelsolin,GSN,UP,57.0,0.95,56.0,0.8888888888888888,3119.5,3109.5,2334.5,2334.5
Q15661, Tryptase alpha/beta-1; Tryptase beta-2,TPSAB1;TPSB2,UP,41.0,0.6833333333333333,26.0,0.4126984126984127,214.0,213.0,35.0,35.0
Q00839, Heterogeneous nuclear ribonucleoprotein U,HNRNPU,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,258.0,258.0
P98174," FYVE, RhoGEF and PH domain-containing protein 1",FGD1,UP,21.0,0.35,17.0,0.2698412698412698,4179.5,3400.5,2695.0,2695.0
Q14134, Tripartite motif-containing protein 29,TRIM29,UP,51.0,0.85,52.0,0.8253968253968254,5626.5,5060.5,5206.5,5060.5
P52272, Heterogeneous nuclear ribonucleoprotein M,HNRNPM,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,1588.5,1588.5
P19012," Keratin, type I cytoskeletal 15",KRT15,UP,51.0,0.85,52.0,0.8253968253968254,5626.5,5060.5,340.5,340.5
P43155, Carnitine O-acetyltransferase,CRAT,UP,16.0,0.26666666666666666,14.0,0.2222222222222222,5084.5,4602.5,4058.5,4058.5
P36578, 60S ribosomal protein L4,RPL4,DOWN,42.0,0.7,47.0,0.746031746031746,5110.5,4578.5,4873.0,4578.5
P18669, Phosphoglycerate mutase 1,PGAM1,UP,55.0,0.9166666666666666,53.0,0.8412698412698413,3102.5,2868.5,5080.0,2868.5
P18206, Vinculin,VCL,UP,59.0,0.9833333333333333,58.0,0.9206349206349206,2267.5,2450.5,1770.0,1770.0
Q01082," Spectrin beta chain, non-erythrocytic 1",SPTBN1,UP,52.0,0.8666666666666667,52.0,0.8253968253968254,4852.0,4509.5,2551.5,2551.5
P36952, Serpin B5,SERPINB5,UP,54.0,0.9,53.0,0.8412698412698413,4053.0,3637.0,1162.5,1162.5
P31944, Caspase-14,CASP14,DOWN,56.0,0.9333333333333333,60.0,0.9523809523809523,5389.0,5205.0,2814.5,2814.5
P12110, Collagen alpha-2(VI) chain,COL6A2,UP,47.0,0.7833333333333333,47.0,0.746031746031746,5319.5,4803.0,6078.0,4803.0
P62805, Histone H4,H4C8,UP,59.0,0.9833333333333333,59.0,0.9365079365079365,3031.0,3182.5,3155.5,3031.0
P10599, Thioredoxin,TXN,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,5195.0,2768.0
Q01581," Hydroxymethylglutaryl-CoA synthase, cytoplasmic",HMGCS1,DOWN,26.0,0.43333333333333335,34.0,0.5396825396825397,3263.5,2897.5,4590.0,2897.5
P68431, Histone H3.1; Histone H3.1t; Histone H3.3C,H3C4;H3-4;H3-5,DOWN,26.0,0.43333333333333335,30.0,0.47619047619047616,5329.5,4750.0,2165.5,2165.5
O15296, Arachidonate 15-lipoxygenase B,ALOX15B,DOWN,19.0,0.31666666666666665,21.0,0.3333333333333333,5956.5,5586.5,6230.5,5586.5
Q02413, Desmoglein-1,DSG1,UP,60.0,1.0,59.0,0.9365079365079365,1525.0,1907.0,2753.5,1525.0
P67936, Tropomyosin alpha-4 chain,TPM4,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,1420.0,1420.0
P40939," Trifunctional enzyme subunit alpha, mitochondrial",HADHA,UP,31.0,0.5166666666666667,25.0,0.3968253968253968,2968.0,2574.0,1527.5,1527.5
P23528, Cofilin-1,CFL1,DOWN,58.0,0.9666666666666667,61.0,0.9682539682539683,6396.5,6437.0,3451.5,3451.5
P02743, Serum amyloid P-component,APCS,UP,56.0,0.9333333333333333,53.0,0.8412698412698413,2280.5,2192.5,2794.0,2192.5
Q86TX2, Acyl-coenzyme A thioesterase 1,ACOT1,UP,36.0,0.6,28.0,0.4444444444444444,1984.0,1781.0,374.0,374.0
P08397, Porphobilinogen deaminase,HMBS,UP,33.0,0.55,17.0,0.2698412698412698,155.5,153.5,86.5,86.5
P38646," Stress-70 protein, mitochondrial",HSPA9,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,1779.5,1779.5
P07737, Profilin-1,PFN1,UP,59.0,0.9833333333333333,59.0,0.9365079365079365,3031.0,3182.5,6198.5,3031.0
P50395, Rab GDP dissociation inhibitor beta,GDI2,UP,56.0,0.9333333333333333,57.0,0.9047619047619048,5033.5,4834.0,4289.5,4289.5
Q01518, Adenylyl cyclase-associated protein 1,CAP1,UP,53.0,0.8833333333333333,51.0,0.8095238095238095,3388.0,3127.0,3704.5,3127.0
P15311, Ezrin,EZR,UP,45.0,0.75,32.0,0.5079365079365079,384.5,373.5,187.0,187.0
P22314, Ubiquitin-like modifier-activating enzyme 1,UBA1,UP,55.0,0.9166666666666666,52.0,0.8253968253968254,2449.0,2335.0,758.0,758.0
P12956, X-ray repair cross-complementing protein 6,XRCC6,UP,47.0,0.7833333333333333,42.0,0.6666666666666666,2606.5,2321.5,1076.0,1076.0
P27797, Calreticulin,CALR,UP,51.0,0.85,50.0,0.7936507936507936,4447.0,4007.5,1956.5,1956.5
P37802, Transgelin-2,TAGLN2,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,6078.0,3912.0
P59666, Neutrophil defensin 3,DEFA3,UP,59.0,0.9833333333333333,58.0,0.9206349206349206,2267.5,2450.5,2887.0,2267.5
Q07065, Cytoskeleton-associated protein 4,CKAP4,UP,47.0,0.7833333333333333,47.0,0.746031746031746,5319.5,4803.0,6214.5,4803.0
P62979, Ubiquitin-40S ribosomal protein S27a; Ubiquitin-like domain-containing protein,RPS27A;ENSG00000231767,UP,60.0,1.0,57.0,0.9047619047619048,728.0,841.0,3745.0,728.0
O75874, Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,UP,55.0,0.9166666666666666,52.0,0.8253968253968254,2449.0,2335.0,2568.0,2335.0
P78527, DNA-dependent protein kinase catalytic subunit,PRKDC,UP,57.0,0.95,53.0,0.8412698412698413,1574.0,1568.0,6214.5,1568.0
P05387, 60S acidic ribosomal protein P2,RPLP2,UP,55.0,0.9166666666666666,52.0,0.8253968253968254,2449.0,2335.0,3976.5,2335.0
P60842, Eukaryotic initiation factor 4A-I,EIF4A1,UP,54.0,0.9,54.0,0.8571428571428571,4690.0,4295.0,1858.5,1858.5
P62258, 14-3-3 protein epsilon,YWHAE,UP,54.0,0.9,55.0,0.873015873015873,5336.5,4932.0,699.5,699.5
Q05707, Collagen alpha-1(XIV) chain,COL14A1,UP,50.0,0.8333333333333334,39.0,0.6190476190476191,487.0,464.0,1898.5,464.0
Q14697, Neutral alpha-glucosidase AB,GANAB,UP,48.0,0.8,49.0,0.7777777777777778,5767.0,5168.0,2095.5,2095.5
Q14103, Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,UP,54.0,0.9,56.0,0.8888888888888888,5936.5,6107.5,1188.5,1188.5
P13010, X-ray repair cross-complementing protein 5,XRCC5,UP,52.0,0.8666666666666667,43.0,0.6825396825396826,755.5,735.5,492.5,492.5
P05091," Aldehyde dehydrogenase, mitochondrial",ALDH2,UP,50.0,0.8333333333333334,47.0,0.746031746031746,3252.0,2985.5,1645.0,1645.0
P23246," Splicing factor, proline- and glutamine-rich",SFPQ,UP,52.0,0.8666666666666667,46.0,0.7301587301587301,1681.5,1586.5,1275.5,1275.5
P61247, 40S ribosomal protein S3a,RPS3A,UP,55.0,0.9166666666666666,54.0,0.8571428571428571,3590.5,3459.5,2298.0,2298.0
P04259," Keratin, type II cytoskeletal 6B",KRT6B,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,497.5,497.5
P32119, Peroxiredoxin-2,PRDX2,DOWN,57.0,0.95,60.0,0.9523809523809523,6329.0,6408.0,3622.0,3622.0
P62913, 60S ribosomal protein L11,RPL11,UP,51.0,0.85,42.0,0.6666666666666666,845.5,808.5,285.0,285.0
O60437, Periplakin,PPL,UP,59.0,0.9833333333333333,55.0,0.873015873015873,877.0,980.0,1275.5,877.0
P02790, Hemopexin,HPX,UP,58.0,0.9666666666666667,57.0,0.9047619047619048,2747.5,2802.5,6400.0,2747.5
P39023, 60S ribosomal protein L3,RPL3,DOWN,45.0,0.75,50.0,0.7936507936507936,5069.5,4617.5,4232.0,4232.0
P63244, Receptor of activated protein C kinase 1,RACK1,DOWN,50.0,0.8333333333333334,54.0,0.8571428571428571,5653.0,5074.0,4307.5,4307.5
P07437, Tubulin beta chain,TUBB,UP,46.0,0.7666666666666667,33.0,0.5238095238095238,348.0,344.0,30.0,30.0
P07910, Heterogeneous nuclear ribonucleoproteins C1/C2,HNRNPC,UP,41.0,0.6833333333333333,29.0,0.4603174603174603,667.0,608.0,142.0,142.0
P60660, Myosin light polypeptide 6,MYL6,UP,58.0,0.9666666666666667,53.0,0.8412698412698413,880.0,939.0,3990.0,880.0
O95678," Keratin, type II cytoskeletal 75",KRT75,UP,52.0,0.8666666666666667,48.0,0.7619047619047619,2483.5,2309.5,226.0,226.0
Q8WU39, Marginal zone B- and B1-cell-specific protein,MZB1,UP,43.0,0.7166666666666667,40.0,0.6349206349206349,4067.0,3357.0,2964.5,2964.5
P29034, Protein S100-A2,S100A2,UP,52.0,0.8666666666666667,54.0,0.8571428571428571,6047.5,6133.5,58.5,58.5
P51991, Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,UP,39.0,0.65,28.0,0.4444444444444444,980.5,901.5,103.0,103.0
O95864, Acyl-CoA 6-desaturase,FADS2,UP,21.0,0.35,14.0,0.2222222222222222,2310.0,2102.0,2517.0,2102.0
